ConsumptionChange,Date
-15.09,28/08/2020
-25.36,29/08/2020
-24.73,30/08/2020
8.16,31/08/2020
12.27,1/09/2020
-5.61,2/09/2020
-5.84,3/09/2020
-7.59,4/09/2020
-15.14,5/09/2020
-23.36,6/09/2020
-11.20,7/09/2020
-5.96,8/09/2020
-15.61,9/09/2020
-14.04,10/09/2020
-12.08,11/09/2020
-14.81,12/09/2020
-23.03,13/09/2020
4.72,14/09/2020
8.45,15/09/2020
-11.67,16/09/2020
-10.89,17/09/2020
-10.12,18/09/2020
-19.90,19/09/2020
-21.53,20/09/2020
2.15,21/09/2020
7.19,22/09/2020
-6.21,23/09/2020
-5.18,24/09/2020
5.99,25/09/2020
-3.93,26/09/2020
-6.44,27/09/2020
9.21,28/09/2020
11.65,29/09/2020
-6.07,30/09/2020
-6.92,1/10/2020
-6.75,2/10/2020
-15.82,3/10/2020
-22.71,4/10/2020
11.32,5/10/2020
28.93,6/10/2020
5.45,7/10/2020
-4.90,8/10/2020
-4.99,9/10/2020
-21.03,10/10/2020
-21.38,11/10/2020
6.12,12/10/2020
13.47,13/10/2020
-2.74,14/10/2020
-1.31,15/10/2020
-4.97,16/10/2020
-21.68,17/10/2020
-17.74,18/10/2020
4.89,19/10/2020
8.46,20/10/2020
-5.33,21/10/2020
-6.02,22/10/2020
-16.87,23/10/2020
-19.01,24/10/2020
-10.86,25/10/2020
9.88,26/10/2020
10.69,27/10/2020
-4.26,28/10/2020
-6.89,29/10/2020
-10.86,30/10/2020
-26.35,31/10/2020
-33.74,1/11/2020
2.16,2/11/2020
8.91,3/11/2020
2.16,4/11/2020
13.46,5/11/2020
2.03,6/11/2020
-16.71,7/11/2020
-23.15,8/11/2020
-0.79,9/11/2020
24.42,10/11/2020
3.06,11/11/2020
0.00,12/11/2020
-7.59,13/11/2020
-15.85,14/11/2020
-12.11,15/11/2020
11.90,16/11/2020
12.30,17/11/2020
1.37,18/11/2020
18.44,19/11/2020
-7.85,20/11/2020
-23.83,21/11/2020
-6.56,22/11/2020
13.18,23/11/2020
13.99,24/11/2020
6.17,25/11/2020
1.17,26/11/2020
15.76,27/11/2020
-8.88,28/11/2020
-13.82,29/11/2020
16.02,30/11/2020
14.78,1/12/2020
-7.77,2/12/2020
-3.13,3/12/2020
-4.01,4/12/2020
-12.11,5/12/2020
-16.68,6/12/2020
10.36,7/12/2020
14.81,8/12/2020
-17.61,9/12/2020
-3.60,10/12/2020
-3.72,11/12/2020
-8.30,12/12/2020
-7.29,13/12/2020
40.21,14/12/2020
43.30,15/12/2020
3.73,16/12/2020
-1.63,17/12/2020
-28.35,18/12/2020
-24.32,19/12/2020
-40.76,20/12/2020
1.93,21/12/2020
16.92,22/12/2020
0.68,23/12/2020
-7.35,24/12/2020
-14.09,25/12/2020
-2.98,26/12/2020
-11.64,27/12/2020
-20.91,28/12/2020
-22.26,29/12/2020
-36.86,30/12/2020
-3.50,31/12/2020
